UserId,Variant,Viewed,Cancelled,BetPlaced_count,ProtectionRate
c8171d1d-2e75-491c-be09-34bf9df581ff,Ethical,9.0,4.0,9.0,0.4444444444444444
c8e5acc0-ddb4-478d-ad73-5654826e7355,Ethical,6.0,1.0,8.0,0.16666666666666666
c99842c8-51e7-420e-b187-6cd2bbbd2242,Ethical,5.0,0.0,6.0,0.0
d6692bfa-902b-4f99-997c-e8e794a36d21,Ethical,5.0,1.0,4.0,0.2
e0ce78ab-5c37-4015-a43e-0327eca7d411,Ethical,2.0,0.0,5.0,0.0
e325cae0-ec05-405b-b39e-9d316f5a4c15,Ethical,16.0,3.0,18.0,0.1875
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,Ethical,3.0,0.0,6.0,0.0
e7e0cf4f-0487-427f-9edd-f5f7427b1058,Ethical,1.0,0.0,2.0,0.0
ee0da921-8d1f-4bfa-bef0-375bda8d63b6,Ethical,5.0,1.0,7.0,0.2
fcc80b9b-7241-4507-b3be-27e2268750fd,Ethical,1.0,0.0,1.0,0.0
fda732af-1a91-41d6-b91e-15ee3098151f,Ethical,2.0,0.0,4.0,0.0
fe0798a3-83e9-44d2-95a1-221b586c3572,Ethical,9.0,0.0,14.0,0.0
0192cc80-656c-46f4-a092-118f895b5162,Dark,0.0,0.0,9.0,
223f3159-6beb-4f7e-a535-707daa1a2f44,Dark,0.0,0.0,11.0,
27449488-f645-4afb-8574-6a2a866b48f4,Dark,0.0,0.0,9.0,
36aaad1d-8604-4a99-a4a7-f03b15e839df,Dark,0.0,0.0,1.0,
36e9cf9e-9437-4894-9ae5-595d95117bc1,Dark,0.0,0.0,2.0,
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,Dark,0.0,0.0,13.0,
3db6425f-73e7-4f7f-ab88-1134e097fd5b,Dark,0.0,0.0,19.0,
4500baff-cb06-46d3-ba87-68cc617bde5f,Dark,0.0,0.0,6.0,
5717abd6-5f8a-465f-a412-2a5bfa11c564,Dark,0.0,0.0,4.0,
5be41bbb-503a-4a8c-a513-682f63de00a5,Dark,0.0,0.0,2.0,
6256d4b2-a7ef-479a-9793-0c1735f25e85,Dark,0.0,0.0,2.0,
6b0900c8-6e37-4b5e-82cb-0a054540c6c3,Dark,0.0,0.0,17.0,
6dbe7567-822c-4848-8772-826ffb43a6a0,Dark,0.0,0.0,17.0,
6f93687d-542d-42aa-9495-bb579b2a193e,Dark,0.0,0.0,4.0,
707a0648-f3ca-4d06-9b48-dab8e2a8b5af,Dark,0.0,0.0,32.0,
72d999af-07ec-4415-974c-abf642c86538,Dark,0.0,0.0,12.0,
786b63d8-fe84-4031-90a0-ae201c76a678,Dark,0.0,0.0,21.0,
7ae04994-1f9b-4233-9c51-0cee3bf1320c,Dark,0.0,0.0,14.0,
7ae04994-1f9b-4233-9c51-0cee3bf1320c,Ethical,0.0,0.0,1.0,
7def8a4d-8255-48b8-886f-191aec185e55,Dark,0.0,0.0,6.0,
7fb7c051-b362-40f7-8efa-2f2a7dc6206a,Dark,0.0,0.0,16.0,
86bc0ab8-10fd-4530-a85f-e9692caa6516,Dark,0.0,0.0,7.0,
8777ceeb-c0fe-4f78-8e86-dd5428507c32,Dark,0.0,0.0,11.0,
8d479225-84cc-4d0f-b3e6-3f61a2764b26,Dark,0.0,0.0,9.0,
8df5a4ae-de1e-4a38-a512-df8910505396,Dark,0.0,0.0,24.0,
9ad14b84-d581-426b-967c-9359c7b533f7,Dark,0.0,0.0,18.0,
a040f35e-2eff-400f-bcd2-ac2f4611e6da,Dark,0.0,0.0,9.0,
a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,Dark,0.0,0.0,17.0,
b9119b29-1ad9-4429-a3d5-576d7e597947,Dark,0.0,0.0,18.0,
c8171d1d-2e75-491c-be09-34bf9df581ff,Dark,0.0,0.0,10.0,
c8e5acc0-ddb4-478d-ad73-5654826e7355,Dark,0.0,0.0,6.0,
c99842c8-51e7-420e-b187-6cd2bbbd2242,Dark,0.0,0.0,13.0,
d6692bfa-902b-4f99-997c-e8e794a36d21,Dark,0.0,0.0,6.0,
e0ce78ab-5c37-4015-a43e-0327eca7d411,Dark,0.0,0.0,7.0,
e325cae0-ec05-405b-b39e-9d316f5a4c15,Dark,0.0,0.0,27.0,
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,Dark,0.0,0.0,22.0,
e7e0cf4f-0487-427f-9edd-f5f7427b1058,Dark,0.0,0.0,2.0,
ee0da921-8d1f-4bfa-bef0-375bda8d63b6,Dark,0.0,0.0,27.0,
fda732af-1a91-41d6-b91e-15ee3098151f,Dark,0.0,0.0,5.0,
fe0798a3-83e9-44d2-95a1-221b586c3572,Dark,0.0,0.0,17.0,
