UserId,Variant,Week,MedianTTFB,MeanTTFB,MinTTFB,BettingSessions
6256d4b2-a7ef-479a-9793-0c1735f25e85,Dark,W2,24.549999999999997,24.549999999999997,16.3,2
6256d4b2-a7ef-479a-9793-0c1735f25e85,Ethical,W1,11.6,11.6,11.6,1
6b0900c8-6e37-4b5e-82cb-0a054540c6c3,Dark,W1,32.8,58.4,15.6,7
6b0900c8-6e37-4b5e-82cb-0a054540c6c3,Ethical,W2,65.45,65.45,59.4,2
6dbe7567-822c-4848-8772-826ffb43a6a0,Dark,W1,14.1,19.585714285714285,10.2,7
6dbe7567-822c-4848-8772-826ffb43a6a0,Ethical,W2,43.9,42.480000000000004,22.3,5
6f93687d-542d-42aa-9495-bb579b2a193e,Dark,W2,33.4,33.4,31.4,2
6f93687d-542d-42aa-9495-bb579b2a193e,Ethical,W1,13.5,13.5,13.5,1
707a0648-f3ca-4d06-9b48-dab8e2a8b5af,Dark,W1,13.95,17.55,7.8,8
707a0648-f3ca-4d06-9b48-dab8e2a8b5af,Ethical,W2,40.6,64.77272727272727,15.5,11
72d999af-07ec-4415-974c-abf642c86538,Dark,W1,58.7,55.24285714285714,14.1,7
72d999af-07ec-4415-974c-abf642c86538,Ethical,W2,84.6,80.38571428571429,13.0,7
786b63d8-fe84-4031-90a0-ae201c76a678,Dark,W1,37.0,35.9,12.4,7
786b63d8-fe84-4031-90a0-ae201c76a678,Ethical,W2,64.55,64.55,56.6,2
7ae04994-1f9b-4233-9c51-0cee3bf1320c,Dark,W2,117.75,111.6875,24.3,8
7ae04994-1f9b-4233-9c51-0cee3bf1320c,Ethical,W1,11.6,11.6,11.6,1
7def8a4d-8255-48b8-886f-191aec185e55,Dark,W1,36.9,36.1,15.8,5
7def8a4d-8255-48b8-886f-191aec185e55,Ethical,W2,67.1,65.93333333333334,62.3,3
7fb7c051-b362-40f7-8efa-2f2a7dc6206a,Dark,W2,36.25,38.699999999999996,11.6,6
7fb7c051-b362-40f7-8efa-2f2a7dc6206a,Ethical,W1,73.3,66.4,15.9,4
86bc0ab8-10fd-4530-a85f-e9692caa6516,Dark,W1,74.1,88.0,17.6,5
86bc0ab8-10fd-4530-a85f-e9692caa6516,Ethical,W2,37.6,40.599999999999994,14.1,9
8777ceeb-c0fe-4f78-8e86-dd5428507c32,Dark,W2,38.3,33.239999999999995,10.3,5
8777ceeb-c0fe-4f78-8e86-dd5428507c32,Ethical,W1,16.0,16.0,13.8,2
8d479225-84cc-4d0f-b3e6-3f61a2764b26,Dark,W2,53.0,54.4,20.6,11
8d479225-84cc-4d0f-b3e6-3f61a2764b26,Ethical,W1,109.15,98.56666666666666,14.7,6
8df5a4ae-de1e-4a38-a512-df8910505396,Dark,W2,24.0,25.483333333333334,16.9,6
8df5a4ae-de1e-4a38-a512-df8910505396,Ethical,W1,140.1,137.43333333333334,16.7,3
9ad14b84-d581-426b-967c-9359c7b533f7,Dark,W1,22.15,25.95,13.6,8
9ad14b84-d581-426b-967c-9359c7b533f7,Ethical,W2,55.45,60.63333333333333,36.2,6
a040f35e-2eff-400f-bcd2-ac2f4611e6da,Dark,W2,42.3,39.31666666666667,16.0,6
a040f35e-2eff-400f-bcd2-ac2f4611e6da,Ethical,W1,47.4,47.4,12.7,2
a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,Dark,W1,38.45,42.6375,18.1,8
a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,Ethical,W2,94.5,99.57142857142857,65.2,7
b9119b29-1ad9-4429-a3d5-576d7e597947,Dark,W1,23.7,30.119999999999997,14.5,5
b9119b29-1ad9-4429-a3d5-576d7e597947,Ethical,W2,78.7,77.02000000000001,42.3,5
c8171d1d-2e75-491c-be09-34bf9df581ff,Dark,W2,32.4,32.980000000000004,10.9,5
c8171d1d-2e75-491c-be09-34bf9df581ff,Ethical,W1,83.5,79.0,17.6,5
c8e5acc0-ddb4-478d-ad73-5654826e7355,Dark,W2,44.4,60.2,18.0,5
